reference, api_endpoint
/go/pkg/mod/github.com/istio/tools@v0.0.0-20191011133710-67546bb2dd77/perf/stability/allconfig/templates/ingress.yaml,httpbin.{{ .Values.domain }}//.*
/go/pkg/mod/github.com/istio/tools@v0.0.0-20191011133710-67546bb2dd77/perf/stability/allconfig/templates/ingress.yaml,httpbin.{{ .Values.domain }}//b.*
/go/pkg/mod/github.com/istio/tools@v0.0.0-20191011133710-67546bb2dd77/perf/stability/allconfig/templates/ingress.yaml,httpbin.{{ .Values.domain }}//c
/go/pkg/mod/github.com/istio/tools@v0.0.0-20191011133710-67546bb2dd77/perf/stability/allconfig/templates/ingress.yaml,httpbin.{{ .Values.domain }}//io.grpc/method
/go/pkg/mod/github.com/istio/tools@v0.0.0-20191011133710-67546bb2dd77/perf/stability/allconfig/templates/ingress.yaml,httpbin.{{ .Values.domain }}//.well_known/foo
/go/pkg/mod/k8s.io/api@v0.0.0-20190620084959-7cf5895f2711/testdata/HEAD/extensions.v1beta1.Ingress.yaml,28/29
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/istioctl/cmd/testdata/ingress/myservice-ingress.yaml,*//foo/.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/istioctl/cmd/testdata/ingress/myservice-ingress.yaml,*//.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/galley/pkg/config/testing/data/builtin/ingress.yaml,*//http
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/galley/pkg/config/testing/data/builtin/ingress.yaml,*//.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/galley/pkg/config/testing/data/builtin/ingress.yaml,*//pasta
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/integration/conformance/testdata/k8s/ingress/merge/stage0/input.yaml,foo.bar.com//bar
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/tests/integration/conformance/testdata/k8s/ingress/merge/stage0/input.yaml,foo.bar.com//foo
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/galley/testdata/conversion/dataset/extensions/v1beta1/ingress_merge_0.yaml,foo.bar.com//bar
/go/pkg/mod/istio.io/istio@v0.0.0-20191120193847-901feaa53612/galley/testdata/conversion/dataset/extensions/v1beta1/ingress_merge_0.yaml,foo.bar.com//foo
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/istioctl/cmd/testdata/ingress/myservice-ingress.yaml,*//foo/.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/istioctl/cmd/testdata/ingress/myservice-ingress.yaml,*//.*
/go/src/istio.io/istio/tests/e2e/tests/pilot/testdata/ingress.yaml,*//c
/go/src/istio.io/istio/tests/e2e/tests/pilot/testdata/ingress.yaml,*//.*
/go/src/istio.io/istio/tests/e2e/tests/pilot/testdata/ingress.yaml,*//io.grpc/method
/go/src/istio.io/istio/tests/e2e/tests/pilot/testdata/ingress.yaml,api.company.com//
/go/src/istio.io/istio/tests/e2e/tests/pilot/testdata/ingress.yaml,*//pasta
/go/src/istio.io/istio/tests/e2e/tests/pilot/testdata/ingress.yaml,*//lo.*
/go/src/istio.io/istio/tests/e2e/tests/pilot/testdata/ingress.yaml,*//lucky
